@RELATION "Short Sentence Similarity"

@ATTRIBUTE similar {yes, no}
@ATTRIBUTE diff_All NUMERIC
@ATTRIBUTE overallLexsim NUMERIC
@ATTRIBUTE diff_Tag_CC NUMERIC
@ATTRIBUTE diff_Tag_CD NUMERIC
@ATTRIBUTE diff_Tag_DT NUMERIC
@ATTRIBUTE diff_Tag_EX NUMERIC
@ATTRIBUTE diff_Tag_FW NUMERIC
@ATTRIBUTE diff_Tag_IN NUMERIC
@ATTRIBUTE diff_Tag_JJ NUMERIC
@ATTRIBUTE diff_Tag_JJR NUMERIC
@ATTRIBUTE diff_Tag_JJS NUMERIC
@ATTRIBUTE diff_Tag_LS NUMERIC
@ATTRIBUTE diff_Tag_MD NUMERIC
@ATTRIBUTE diff_Tag_NN NUMERIC
@ATTRIBUTE diff_Tag_NNS NUMERIC
@ATTRIBUTE diff_Tag_NNP NUMERIC
@ATTRIBUTE diff_Tag_NNPS NUMERIC
@ATTRIBUTE diff_Tag_PDT NUMERIC
@ATTRIBUTE diff_Tag_POS NUMERIC
@ATTRIBUTE diff_Tag_PRP NUMERIC
@ATTRIBUTE diff_Tag_PRP$ NUMERIC
@ATTRIBUTE diff_Tag_RB NUMERIC
@ATTRIBUTE diff_Tag_RBR NUMERIC
@ATTRIBUTE diff_Tag_RBS NUMERIC
@ATTRIBUTE diff_Tag_RP NUMERIC
@ATTRIBUTE diff_Tag_SYM NUMERIC
@ATTRIBUTE diff_Tag_TO NUMERIC
@ATTRIBUTE diff_Tag_UH NUMERIC
@ATTRIBUTE diff_Tag_VB NUMERIC
@ATTRIBUTE diff_Tag_VBD NUMERIC
@ATTRIBUTE diff_Tag_VBG NUMERIC
@ATTRIBUTE diff_Tag_VBN NUMERIC
@ATTRIBUTE diff_Tag_VBP NUMERIC
@ATTRIBUTE diff_Tag_VBZ NUMERIC
@ATTRIBUTE diff_Tag_WDT NUMERIC
@ATTRIBUTE diff_Tag_WP$ NUMERIC
@ATTRIBUTE diff_Tag_WRB NUMERIC
@ATTRIBUTE diff_Dep_auxpass NUMERIC
@ATTRIBUTE diff_Dep_cop NUMERIC
@ATTRIBUTE diff_Dep_conj NUMERIC
@ATTRIBUTE diff_Dep_cc NUMERIC
@ATTRIBUTE diff_Dep_nsubj NUMERIC
@ATTRIBUTE diff_Dep_csubj NUMERIC
@ATTRIBUTE diff_Dep_dobj NUMERIC
@ATTRIBUTE diff_Dep_iobj NUMERIC
@ATTRIBUTE diff_Dep_pobj NUMERIC
@ATTRIBUTE diff_Dep_attr NUMERIC
@ATTRIBUTE diff_Dep_ccomp NUMERIC
@ATTRIBUTE diff_Dep_xcomp NUMERIC
@ATTRIBUTE diff_Dep_mark NUMERIC
@ATTRIBUTE diff_Dep_rel NUMERIC
@ATTRIBUTE diff_Dep_acomp NUMERIC
@ATTRIBUTE diff_Dep_agent NUMERIC
@ATTRIBUTE diff_Dep_ref NUMERIC
@ATTRIBUTE diff_Dep_expl NUMERIC
@ATTRIBUTE diff_Dep_advcl NUMERIC
@ATTRIBUTE diff_Dep_purpcl NUMERIC
@ATTRIBUTE diff_Dep_tmod NUMERIC
@ATTRIBUTE diff_Dep_rcmod NUMERIC
@ATTRIBUTE diff_Dep_amod NUMERIC
@ATTRIBUTE diff_Dep_infmod NUMERIC
@ATTRIBUTE diff_Dep_partmod NUMERIC
@ATTRIBUTE diff_Dep_num NUMERIC
@ATTRIBUTE diff_Dep_number NUMERIC
@ATTRIBUTE diff_Dep_appos NUMERIC
@ATTRIBUTE diff_Dep_advmod NUMERIC
@ATTRIBUTE diff_Dep_neg NUMERIC
@ATTRIBUTE diff_Dep_poss NUMERIC
@ATTRIBUTE diff_Dep_possessive NUMERIC
@ATTRIBUTE diff_Dep_prt NUMERIC
@ATTRIBUTE diff_Dep_det NUMERIC
@ATTRIBUTE diff_Dep_prep NUMERIC
@ATTRIBUTE diff_Dep_xsubj NUMERIC
@ATTRIBUTE lexSim_Tag_CC NUMERIC
@ATTRIBUTE lexSim_Tag_CD NUMERIC
@ATTRIBUTE lexSim_Tag_DT NUMERIC
@ATTRIBUTE lexSim_Tag_EX NUMERIC
@ATTRIBUTE lexSim_Tag_FW NUMERIC
@ATTRIBUTE lexSim_Tag_IN NUMERIC
@ATTRIBUTE lexSim_Tag_JJ NUMERIC
@ATTRIBUTE lexSim_Tag_JJR NUMERIC
@ATTRIBUTE lexSim_Tag_JJS NUMERIC
@ATTRIBUTE lexSim_Tag_LS NUMERIC
@ATTRIBUTE lexSim_Tag_MD NUMERIC
@ATTRIBUTE lexSim_Tag_NN NUMERIC
@ATTRIBUTE lexSim_Tag_NNS NUMERIC
@ATTRIBUTE lexSim_Tag_NNP NUMERIC
@ATTRIBUTE lexSim_Tag_NNPS NUMERIC
@ATTRIBUTE lexSim_Tag_PDT NUMERIC
@ATTRIBUTE lexSim_Tag_POS NUMERIC
@ATTRIBUTE lexSim_Tag_PRP NUMERIC
@ATTRIBUTE lexSim_Tag_PRP$ NUMERIC
@ATTRIBUTE lexSim_Tag_RB NUMERIC
@ATTRIBUTE lexSim_Tag_RBR NUMERIC
@ATTRIBUTE lexSim_Tag_RBS NUMERIC
@ATTRIBUTE lexSim_Tag_RP NUMERIC
@ATTRIBUTE lexSim_Tag_SYM NUMERIC
@ATTRIBUTE lexSim_Tag_TO NUMERIC
@ATTRIBUTE lexSim_Tag_UH NUMERIC
@ATTRIBUTE lexSim_Tag_VB NUMERIC
@ATTRIBUTE lexSim_Tag_VBD NUMERIC
@ATTRIBUTE lexSim_Tag_VBG NUMERIC
@ATTRIBUTE lexSim_Tag_VBN NUMERIC
@ATTRIBUTE lexSim_Tag_VBP NUMERIC
@ATTRIBUTE lexSim_Tag_VBZ NUMERIC
@ATTRIBUTE lexSim_Tag_WDT NUMERIC
@ATTRIBUTE lexSim_Tag_WP$ NUMERIC
@ATTRIBUTE lexSim_Tag_WRB NUMERIC
@ATTRIBUTE semSim_Tag_CC NUMERIC
@ATTRIBUTE semSim_Tag_CD NUMERIC
@ATTRIBUTE semSim_Tag_DT NUMERIC
@ATTRIBUTE semSim_Tag_EX NUMERIC
@ATTRIBUTE semSim_Tag_FW NUMERIC
@ATTRIBUTE semSim_Tag_IN NUMERIC
@ATTRIBUTE semSim_Tag_JJ NUMERIC
@ATTRIBUTE semSim_Tag_JJR NUMERIC
@ATTRIBUTE semSim_Tag_JJS NUMERIC
@ATTRIBUTE semSim_Tag_LS NUMERIC
@ATTRIBUTE semSim_Tag_MD NUMERIC
@ATTRIBUTE semSim_Tag_NN NUMERIC
@ATTRIBUTE semSim_Tag_NNS NUMERIC
@ATTRIBUTE semSim_Tag_NNP NUMERIC
@ATTRIBUTE semSim_Tag_NNPS NUMERIC
@ATTRIBUTE semSim_Tag_PDT NUMERIC
@ATTRIBUTE semSim_Tag_POS NUMERIC
@ATTRIBUTE semSim_Tag_PRP NUMERIC
@ATTRIBUTE semSim_Tag_PRP$ NUMERIC
@ATTRIBUTE semSim_Tag_RB NUMERIC
@ATTRIBUTE semSim_Tag_RBR NUMERIC
@ATTRIBUTE semSim_Tag_RBS NUMERIC
@ATTRIBUTE semSim_Tag_RP NUMERIC
@ATTRIBUTE semSim_Tag_SYM NUMERIC
@ATTRIBUTE semSim_Tag_TO NUMERIC
@ATTRIBUTE semSim_Tag_UH NUMERIC
@ATTRIBUTE semSim_Tag_VB NUMERIC
@ATTRIBUTE semSim_Tag_VBD NUMERIC
@ATTRIBUTE semSim_Tag_VBG NUMERIC
@ATTRIBUTE semSim_Tag_VBN NUMERIC
@ATTRIBUTE semSim_Tag_VBP NUMERIC
@ATTRIBUTE semSim_Tag_VBZ NUMERIC
@ATTRIBUTE semSim_Tag_WDT NUMERIC
@ATTRIBUTE semSim_Tag_WP$ NUMERIC
@ATTRIBUTE semSim_Tag_WRB NUMERIC
@ATTRIBUTE lexSim_Dep_auxpass NUMERIC
@ATTRIBUTE lexSim_Dep_cop NUMERIC
@ATTRIBUTE lexSim_Dep_conj NUMERIC
@ATTRIBUTE lexSim_Dep_cc NUMERIC
@ATTRIBUTE lexSim_Dep_nsubj NUMERIC
@ATTRIBUTE lexSim_Dep_csubj NUMERIC
@ATTRIBUTE lexSim_Dep_dobj NUMERIC
@ATTRIBUTE lexSim_Dep_iobj NUMERIC
@ATTRIBUTE lexSim_Dep_pobj NUMERIC
@ATTRIBUTE lexSim_Dep_attr NUMERIC
@ATTRIBUTE lexSim_Dep_ccomp NUMERIC
@ATTRIBUTE lexSim_Dep_xcomp NUMERIC
@ATTRIBUTE lexSim_Dep_mark NUMERIC
@ATTRIBUTE lexSim_Dep_rel NUMERIC
@ATTRIBUTE lexSim_Dep_acomp NUMERIC
@ATTRIBUTE lexSim_Dep_agent NUMERIC
@ATTRIBUTE lexSim_Dep_ref NUMERIC
@ATTRIBUTE lexSim_Dep_expl NUMERIC
@ATTRIBUTE lexSim_Dep_advcl NUMERIC
@ATTRIBUTE lexSim_Dep_purpcl NUMERIC
@ATTRIBUTE lexSim_Dep_tmod NUMERIC
@ATTRIBUTE lexSim_Dep_rcmod NUMERIC
@ATTRIBUTE lexSim_Dep_amod NUMERIC
@ATTRIBUTE lexSim_Dep_infmod NUMERIC
@ATTRIBUTE lexSim_Dep_partmod NUMERIC
@ATTRIBUTE lexSim_Dep_num NUMERIC
@ATTRIBUTE lexSim_Dep_number NUMERIC
@ATTRIBUTE lexSim_Dep_appos NUMERIC
@ATTRIBUTE lexSim_Dep_advmod NUMERIC
@ATTRIBUTE lexSim_Dep_neg NUMERIC
@ATTRIBUTE lexSim_Dep_poss NUMERIC
@ATTRIBUTE lexSim_Dep_possessive NUMERIC
@ATTRIBUTE lexSim_Dep_prt NUMERIC
@ATTRIBUTE lexSim_Dep_det NUMERIC
@ATTRIBUTE lexSim_Dep_prep NUMERIC
@ATTRIBUTE lexSim_Dep_xsubj NUMERIC
@ATTRIBUTE semSim_Dep_auxpass NUMERIC
@ATTRIBUTE semSim_Dep_cop NUMERIC
@ATTRIBUTE semSim_Dep_conj NUMERIC
@ATTRIBUTE semSim_Dep_cc NUMERIC
@ATTRIBUTE semSim_Dep_nsubj NUMERIC
@ATTRIBUTE semSim_Dep_csubj NUMERIC
@ATTRIBUTE semSim_Dep_dobj NUMERIC
@ATTRIBUTE semSim_Dep_iobj NUMERIC
@ATTRIBUTE semSim_Dep_pobj NUMERIC
@ATTRIBUTE semSim_Dep_attr NUMERIC
@ATTRIBUTE semSim_Dep_ccomp NUMERIC
@ATTRIBUTE semSim_Dep_xcomp NUMERIC
@ATTRIBUTE semSim_Dep_mark NUMERIC
@ATTRIBUTE semSim_Dep_rel NUMERIC
@ATTRIBUTE semSim_Dep_acomp NUMERIC
@ATTRIBUTE semSim_Dep_agent NUMERIC
@ATTRIBUTE semSim_Dep_ref NUMERIC
@ATTRIBUTE semSim_Dep_expl NUMERIC
@ATTRIBUTE semSim_Dep_advcl NUMERIC
@ATTRIBUTE semSim_Dep_purpcl NUMERIC
@ATTRIBUTE semSim_Dep_tmod NUMERIC
@ATTRIBUTE semSim_Dep_rcmod NUMERIC
@ATTRIBUTE semSim_Dep_amod NUMERIC
@ATTRIBUTE semSim_Dep_infmod NUMERIC
@ATTRIBUTE semSim_Dep_partmod NUMERIC
@ATTRIBUTE semSim_Dep_num NUMERIC
@ATTRIBUTE semSim_Dep_number NUMERIC
@ATTRIBUTE semSim_Dep_appos NUMERIC
@ATTRIBUTE semSim_Dep_advmod NUMERIC
@ATTRIBUTE semSim_Dep_neg NUMERIC
@ATTRIBUTE semSim_Dep_poss NUMERIC
@ATTRIBUTE semSim_Dep_possessive NUMERIC
@ATTRIBUTE semSim_Dep_prt NUMERIC
@ATTRIBUTE semSim_Dep_det NUMERIC
@ATTRIBUTE semSim_Dep_prep NUMERIC
@ATTRIBUTE semSim_Dep_xsubj NUMERIC
@ATTRIBUTE same_Tag_CC NUMERIC
@ATTRIBUTE same_Tag_CD NUMERIC
@ATTRIBUTE same_Tag_DT NUMERIC
@ATTRIBUTE same_Tag_EX NUMERIC
@ATTRIBUTE same_Tag_FW NUMERIC
@ATTRIBUTE same_Tag_IN NUMERIC
@ATTRIBUTE same_Tag_JJ NUMERIC
@ATTRIBUTE same_Tag_JJR NUMERIC
@ATTRIBUTE same_Tag_JJS NUMERIC
@ATTRIBUTE same_Tag_LS NUMERIC
@ATTRIBUTE same_Tag_MD NUMERIC
@ATTRIBUTE same_Tag_NN NUMERIC
@ATTRIBUTE same_Tag_NNS NUMERIC
@ATTRIBUTE same_Tag_NNP NUMERIC
@ATTRIBUTE same_Tag_NNPS NUMERIC
@ATTRIBUTE same_Tag_PDT NUMERIC
@ATTRIBUTE same_Tag_POS NUMERIC
@ATTRIBUTE same_Tag_PRP NUMERIC
@ATTRIBUTE same_Tag_PRP$ NUMERIC
@ATTRIBUTE same_Tag_RB NUMERIC
@ATTRIBUTE same_Tag_RBR NUMERIC
@ATTRIBUTE same_Tag_RBS NUMERIC
@ATTRIBUTE same_Tag_RP NUMERIC
@ATTRIBUTE same_Tag_SYM NUMERIC
@ATTRIBUTE same_Tag_TO NUMERIC
@ATTRIBUTE same_Tag_UH NUMERIC
@ATTRIBUTE same_Tag_VB NUMERIC
@ATTRIBUTE same_Tag_VBD NUMERIC
@ATTRIBUTE same_Tag_VBG NUMERIC
@ATTRIBUTE same_Tag_VBN NUMERIC
@ATTRIBUTE same_Tag_VBP NUMERIC
@ATTRIBUTE same_Tag_VBZ NUMERIC
@ATTRIBUTE same_Tag_WDT NUMERIC
@ATTRIBUTE same_Tag_WP$ NUMERIC
@ATTRIBUTE same_Tag_WRB NUMERIC

@DATA
no,2,1.0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.0,0,0,0.25,0,0,0,0,0,0,0.5,0.166666666667,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.5,1.0,0,0,0.25,0,0,0,0,0,0,0.5,0.166666666667,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0935385040258,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0214437965967,0,0,0,0,0,0,0.0681567332916,0,0,0,0.0437815266106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300016594137,0,0,0.107177346254,0,0,0,0,0.0214437965967,0,0,0,0.0,1.0,0,0,0.75,0,0,0,0,0,0.0,1.0,0.833333333333,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,1.0,0,0,0,0,0,0,0
no,5,1.0,0,0,0,0,0,2,1,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333333333333,0,0,0,0.333333333333,0,0,0,0,0,0.333333333333,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333,0,0,0,0.333333333333,0,0,0,0,0,0.333333333333,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.333333333333,0.0,0,0,0,0,0.333333333333,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0
no,6,1.0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25,1.0,0.5,0,0,0.333333333333,0,0,0,0,0,0.25,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.25,1.0,0.5,0,0,0.333333333333,0,0,0,0,0,0.25,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0288683118342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0701538780193,0,0,0,0,0,0,0.04437671206,0,0.0600033188274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535886731268,0,0,0,0,0.0331082216987,0,0,0.75,0.0,0.5,0,0,0.5,0,0,0,0,0,0.6,1.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.5,0,0.0,0,0,0,0,0
yes,0,1.0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,1.0,0,0,0.25,0.333333333333,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.5,1.0,0,0,0.25,0.333333333333,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0169579948684,0,0.0173209871005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315560774114,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0404137168713,0,0.0334929207043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297619047619,0,0,0.0405679260185,0,0,0,0,0,0,0,0.0,0,0,0.0,0.333333333333,1.0,0,0,0.0,0.666666666667,0,0,0,0,0.666666666667,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
no,7,1.0,0,2,0,0,0,1,1,2,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1.0,0.333333333333,1.0,0,0,0,0,0,0,0,0,1.0,0,0.333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.333333333333,1.0,0,0,0,0,0,0,0,0,1.0,0,0.333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0249355743529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375,0,0,0,0,0,0,0,0.0249355743529,0,0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
yes,2,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.5,1.0,0,0,0.5,0,0,1.0,0,0,0.2,1.0,0.5,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,1.0,0.5,1.0,0,0,0.5,0,0,1.0,0,0,0.2,1.0,0.5,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0.0108256169378,0,0.00876923475242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00903977275088,0,0,0.0121028623737,0.0,0,0,0,0.0127184961513,0,0,0.0,0,0,0,0,0,0,0.0535886731268,0,0.00876923475242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00903977275088,0,0,0.0600033188274,0.0,0,0,0,0.0127184961513,0,0,0.0,0,0,1.0,1.0,1.0,0,0,0.5,0,0,1.0,0,0,1.0,1.0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0
yes,1,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.333333333333,1.0,0,0,0,0,0.5,0,0.25,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,1.0,0,0,0,0,0,0.5,0,0,0.333333333333,1.0,0,0,0,0,0.5,0,0.25,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0.042004502075,0,0.0183803970829,0,0,0,0,0,0.025881623096,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0133626434323,0,0,0,0,0,0,0.0321316147347,0,0.0595429701409,0,0,0,0,0,0.025881623096,0,0,0,0,0,0.0771471242066,0,0,0,0.0357142857143,0,0,0,0,0,0,0,0,0,0,0.0126126558852,0,0,0,0,0.0,0,0,0.666666666667,0.0,0,0,0,0,0.0,0,0.6,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,1.0,0,0,0
yes,1,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333,0,0,0.25,0.25,0,0,0,0,0.125,0.5,0,0,0,0,0,0,0,0,0,0,0,0.333333333333,0,1.0,0,0,1.0,0,1.0,0,0,0,0,0,0.333333333333,0,0,0.25,0.25,0,0,0,0,0.125,0.5,0,0,0,0,0,0,0,0,0,0,0,0.333333333333,0,1.0,0,0,1.0,0,1.0,0,0,0,0.037527022809,0,0,0,0.00944668204818,0,0,0,0,0,0,0.0103494529282,0,0,0,0,0,0,0,0,0,0,0.0184763842313,0,0,0,0,0,0,0,0,0,0,0.0256383400903,0,0,0.0535886731268,0,0,0,0.0304259445139,0,0,0,0,0,0,0.1148698355,0,0,0,0,0,0,0,0,0,0,0.0204178296018,0,0,0,0,0,0,0,0,0,0,0.0284975129699,0,0,0,0,0.333333333333,0,0,0.666666666667,1.0,0,0,0,0,0.777777777778,0.5,0.0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0.0,0.0,1.0,0,1.0,0,0,0
no,1,1.0,1,0,1,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.00937887772893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389584151817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,0,0,0
yes,4,1.0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333333333333,0.5,0,0,0.5,0,0,0,0,0,0.333333333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,1.0,0,0.333333333333,0.5,0,0,0.5,0,0,0,0,0,0.333333333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,1.0,0.0,0,0,0,0.0106601447083,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0446572276057,0,0,0,0,0,0,0.0166666666667,0,0,0.0215680192467,0,0,0,0,0.0,0,0,0.1148698355,0,0,0,0.052973154718,0,0.0540029869446,0,0,0,0,0,0,0,0,0,0,0,0.105946309436,0,0,0,0,0,0,0.0242054793055,0,0,0.0215680192467,0,0,0,0,0.0499238010675,0,0,0,0.5,0.5,0,0,0.5,0.0,0,0,0,0,0.2,0.333333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0,0,1.0
no,11,1.0,1,1,1,0,0,2,0,0,0,0,0,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0.5,0,0,0.333333333333,0.5,0,0,0,0,0.25,0.5,0.166666666667,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1.0,0,0.5,0,1.0,0,0,0,0,0,0.5,0,0,0.333333333333,0.5,0,0,0,0,0.25,0.5,0.166666666667,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1.0,0,0.5,0,1.0,0,0,0,0,0,0,0,0.0172764805863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0084626876042,0,0,0,0,0,0,0,0,0,0,0.0261823530705,0,0,0,0,0,0,0.0428365197158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0261823530705,0,0,0.0,0.0,0.5,0,0,0.333333333333,1.0,0,0,0,0,0.75,0.333333333333,0.333333333333,0,0,0.0,0,0,0.0,0,0,0,0,1.0,0,0,0.0,0,0.5,0,1.0,0,0,0
